Topic,SourceWord,Lang1,Lang2,Word1,Word2,WordSimilarity,mean,std,z_score,OutlierType
house,library,it,da,bibliotˈɛka,bˌʔiblʔiotˈek,0.900,0.195,0.155,4.544,Positive
body,skeleton,de,pl,skeːlˈɛt,ʃkʲˈɛlɛt,1.000,0.160,0.185,4.539,Positive
shopping,style,de,el,ʃtˈiːl,stˈil,1.000,0.179,0.181,4.537,Positive
shopping,fit,de,el,fˈiːt,(en)fˈɪt(el),1.000,0.179,0.181,4.537,Positive
body,diaphragm,pl,hu,mɛmbrˈana,mˈɛmbraːn,0.875,0.153,0.159,4.532,Positive
body,anatomy,pl,hu,ˌanatˈɔmja,ˈɑnɑtoːmiɑ,0.875,0.153,0.159,4.532,Positive
house,garage,cs,it,ɡˈaraːʃ,ɡarˈaʒ,1.000,0.199,0.177,4.520,Positive
house,inglenook,cs,it,ˈiŋɡlenˌook,iŋɡlenˈɔok,1.000,0.199,0.177,4.520,Positive
shopping,label,it,el,etikˈetːa,ˌeticˈeta,0.857,0.212,0.144,4.474,Positive
body,nerves,it,pl,nˈɛrvɪ,nˈɛrvɨ,1.000,0.192,0.181,4.459,Positive
body,organs,it,pl,ˈɔrɡanɪ,ɔrɡˈanɨ,1.000,0.192,0.181,4.459,Positive
personal qualities,frank,cs,el,frˈaŋk,(en)fɹˈaŋk(el),1.000,0.202,0.179,4.458,Positive
personal qualities,testy,cs,el,tˈesti,(en)tˈɛsti(el),1.000,0.202,0.179,4.458,Positive
body,diaphragm,pl,NB,mɛmbrˈana,mˈɛmbran,0.875,0.150,0.163,4.454,Positive
house,mat,cs,fr,mˈat,mˈat,1.000,0.190,0.182,4.452,Positive
house,garage,cs,fr,ɡˈaraːʃ,ɡaʁˈaʒ,1.000,0.190,0.182,4.452,Positive
emotions,shock,ro,el,ʃˈok,sˈok,1.000,0.201,0.180,4.435,Positive
emotions,nirvana,ro,el,nirvˈana,nirvˈana,1.000,0.201,0.180,4.435,Positive
emotions,ecstasy,ro,el,ekstˈasi,ˈekstasˌi,1.000,0.201,0.180,4.435,Positive
house,garage,fr,hu,ɡaʁˈaʒ,ɡˈɑraːʒ,1.000,0.168,0.188,4.425,Positive
house,mat,fr,hu,mˈat,mˈɑt,1.000,0.168,0.188,4.425,Positive
shopping,label,PT-PT,el,ˌetikˈetɐ,ˌeticˈeta,0.857,0.206,0.147,4.423,Positive
emotions,nirvana,hu,el,nˈirvaːnɑ,nirvˈana,1.000,0.186,0.184,4.422,Positive
emotions,shock,hu,el,ʃˈokː,sˈok,1.000,0.186,0.184,4.422,Positive
emotions,agony,hu,el,ˈɑɡoːniɑ,ˌaɣonˈia,1.000,0.186,0.184,4.422,Positive
house,fan,en,pl,fˈæn,fˈan,1.000,0.182,0.185,4.421,Positive
house,lanai,en,pl,lˈænaɪ,lanˈai,1.000,0.182,0.185,4.421,Positive
house,lanai,de,es,lˈɑnaɪ,lˈanaɪ,1.000,0.197,0.182,4.418,Positive
shopping,bill,es,el,bˈiʎ,(en)bˈɪl(el),1.000,0.221,0.177,4.390,Positive
house,library,da,fr,bˌʔiblʔiotˈek,bibliotˈɛk,1.000,0.180,0.188,4.370,Positive
house,mat,da,fr,mˈat,mˈat,1.000,0.180,0.188,4.370,Positive
business,net,fr,el,nˈɛt,(en)nˈɛt(el),1.000,0.212,0.181,4.360,Positive
business,fax,fr,el,fˈaks,fˈaks,1.000,0.212,0.181,4.360,Positive
business,winwin,fr,el,(en)wˈɪnwɪn(fr),(en)wˈɪnwɪn(el),1.000,0.212,0.181,4.360,Positive
emotions,shock,fr,el,ʃˈɔk,sˈok,1.000,0.202,0.183,4.355,Positive
emotions,nirvana,fr,el,niʁvanˈa,nirvˈana,1.000,0.202,0.183,4.355,Positive
family,clan,ro,el,klˈan,(en)klˈan(el),1.000,0.196,0.185,4.353,Positive
family,mama,ro,el,mˈama,(en)mˈamɐ(el),1.000,0.196,0.185,4.353,Positive
business,fax,pl,el,fˈaks,fˈaks,1.000,0.208,0.182,4.352,Positive
business,temp,pl,el,tˈɛmp,(en)tˈɛmp(el),1.000,0.208,0.182,4.352,Positive
house,lanai,pl,el,lanˈai,(en)lˈanaɪ(el),1.000,0.201,0.184,4.348,Positive
house,trim,hu,el,trˈim,(en)tɹˈɪm(el),1.000,0.184,0.188,4.343,Positive
house,lanai,hu,el,lˈɑnɑi,(en)lˈanaɪ(el),1.000,0.184,0.188,4.343,Positive
house,mat,hu,el,mˈɑt,(en)mˈat(el),1.000,0.184,0.188,4.343,Positive
shopping,bill,nl,el,bˈɪl,(en)bˈɪl(el),1.000,0.198,0.185,4.340,Positive
shopping,fit,nl,el,fˈɪt,(en)fˈɪt(el),1.000,0.198,0.185,4.340,Positive
shopping,style,pl,el,stˈɨl,stˈil,1.000,0.209,0.183,4.318,Positive
shopping,fit,hu,el,fˈit,(en)fˈɪt(el),1.000,0.200,0.185,4.317,Positive
personal qualities,snobby,ro,el,snˈob,snˈob,1.000,0.208,0.184,4.314,Positive
house,lanai,da,pl,lˈanaˌʔi,lanˈai,1.000,0.191,0.188,4.305,Positive
body,skeleton,da,pl,skʔelˈεt,ʃkʲˈɛlɛt,0.833,0.141,0.161,4.291,Positive
family,clan,el,NB,(en)klˈan(el),klˈan,1.000,0.179,0.191,4.288,Positive
family,papa,el,NB,(en)pɐpˈɑː(el),pˈɑpːɑ,1.000,0.179,0.191,4.288,Positive
house,nook,cs,es,nˈook,noˈok,1.000,0.181,0.191,4.288,Positive
house,inglenook,cs,es,ˈiŋɡlenˌook,ˌiŋɡlenoˈok,1.000,0.181,0.191,4.288,Positive
house,lanai,cs,es,lˈanai,lˈanaɪ,1.000,0.181,0.191,4.288,Positive
house,mat,cs,es,mˈat,mˈat,1.000,0.181,0.191,4.288,Positive
body,anatomy,es,pl,ˌanatomˈia,ˌanatˈɔmja,0.875,0.175,0.163,4.287,Positive
body,capillary,es,pl,kˌapilˈaɾ,kˌapilˈara,0.875,0.175,0.163,4.287,Positive
body,anatomy,pl,el,ˌanatˈɔmja,ˌanatomˈia,0.875,0.174,0.164,4.283,Positive
family,clan,da,el,klˈan,(en)klˈan(el),1.000,0.183,0.191,4.266,Positive
family,pop,da,el,pˈʔʌp,(en)pˈɒp(el),1.000,0.183,0.191,4.266,Positive
family,miss,da,el,mˈʔis,(en)mˈɪs(el),1.000,0.183,0.191,4.266,Positive
family,nana,PT-PT,da,nˈɐ̃nɐ,nˈana,1.000,0.184,0.191,4.266,Positive
house,lintel,en,PT-PT,lˈɪntəl,liŋtˈɛl,1.000,0.218,0.184,4.262,Positive
house,loft,en,PT-PT,lˈɔft,lˈoft,1.000,0.218,0.184,4.262,Positive
body,capillary,PT-PT,pl,kˌɐpilˈaɹ,kˌapilˈara,0.875,0.169,0.166,4.257,Positive
house,lanai,es,NB,lˈanaɪ,lˈanɑɪ,1.000,0.210,0.186,4.245,Positive
house,loft,PT-PT,NB,lˈoft,lˈɔft,1.000,0.215,0.185,4.243,Positive
house,roof,it,hu,tˈetːo,tˈɛtøː,1.000,0.196,0.190,4.235,Positive
house,inglenook,it,hu,iŋɡlenˈɔok,ˈinɡlɛnook,1.000,0.196,0.190,4.235,Positive
house,garage,it,hu,ɡarˈaʒ,ɡˈɑraːʒ,1.000,0.196,0.190,4.235,Positive
shopping,style,cs,fr,stˈil,stˈil,1.000,0.204,0.188,4.226,Positive
business,net,hu,el,nˈɛt,(en)nˈɛt(el),1.000,0.200,0.189,4.225,Positive
business,bonus,hu,el,bˈoːnus,bˈonus,1.000,0.200,0.189,4.225,Positive
business,temp,hu,el,tˈɛmp,(en)tˈɛmp(el),1.000,0.200,0.189,4.225,Positive
business,fax,hu,el,fˈɑks,fˈaks,1.000,0.200,0.189,4.225,Positive
emotions,venal,da,hu,ʋˈʔenal,vˈɛnɑl,1.000,0.172,0.196,4.225,Positive
emotions,panic,da,hu,panˈʔik,pˈaːnik,1.000,0.172,0.196,4.225,Positive
family,papa,cs,el,pˈapa,(en)pɐpˈɑː(el),1.000,0.225,0.184,4.223,Positive
family,clan,cs,el,klˈan,(en)klˈan(el),1.000,0.225,0.184,4.223,Positive
house,lanai,es,hu,lˈanaɪ,lˈɑnɑi,1.000,0.193,0.191,4.219,Positive
house,inglenook,es,hu,ˌiŋɡlenoˈok,ˈinɡlɛnook,1.000,0.193,0.191,4.219,Positive
house,nook,es,hu,noˈok,nˈook,1.000,0.193,0.191,4.219,Positive
house,mat,es,hu,mˈat,mˈɑt,1.000,0.193,0.191,4.219,Positive
body,fibula,da,hu,fˈʔibʔulˌa,fˈibulɑ,1.000,0.171,0.197,4.215,Positive
body,iris,da,hu,ˈʔiʁʔis,ˈiːris,1.000,0.171,0.197,4.215,Positive
emotions,nirvana,es,el,niɾβˈana,nirvˈana,1.000,0.224,0.184,4.212,Positive
emotions,sarcastic,es,el,saɾkˈastiko,sˌarkastikˈo,1.000,0.224,0.184,4.212,Positive
emotions,agony,es,el,ˌaɣonˈia,ˌaɣonˈia,1.000,0.224,0.184,4.212,Positive
body,anatomy,hu,el,ˈɑnɑtoːmiɑ,ˌanatomˈia,1.000,0.181,0.195,4.206,Positive
body,pinky,hu,el,pˈinki,(en)pˈɪŋki(el),1.000,0.181,0.195,4.206,Positive
shopping,electronics,it,el,eletːrˈɔnika,ˌilektrˌonikˈa,0.818,0.212,0.144,4.204,Positive
body,skeleton,pl,NB,ʃkʲˈɛlɛt,ʃˈeːlɛtː,0.833,0.150,0.163,4.198,Positive
business,career,el,NB,kˌariˈera,kˈɑrriːˌeːra,0.875,0.184,0.166,4.173,Positive
shopping,currency,da,hu,ʋalˈʔuta,vˈɑlutɑ,1.000,0.230,0.185,4.167,Positive
shopping,coupon,el,NB,kupˈoni,kˈʉːpɔŋ,0.833,0.184,0.156,4.160,Positive
business,fax,es,el,fˈaks,fˈaks,1.000,0.219,0.188,4.155,Positive
business,winwin,es,el,wˈinwin,(en)wˈɪnwɪn(el),1.000,0.219,0.188,4.155,Positive
business,temp,es,el,tˈemp,(en)tˈɛmp(el),1.000,0.219,0.188,4.155,Positive
family,clan,da,hu,klˈan,klˈaːn,1.000,0.191,0.195,4.154,Positive
family,nana,da,hu,nˈana,nˈɑnɑ,1.000,0.191,0.195,4.154,Positive
family,kith,da,hu,kˈʔith,kˈith,1.000,0.191,0.195,4.154,Positive
shopping,coupon,es,hu,kupˈon,kˈupon,1.000,0.209,0.190,4.153,Positive
shopping,electronics,es,hu,ˌelektɾˈonika,ˈɛlɛktronikɑ,1.000,0.209,0.190,4.153,Positive
body,skeleton,PT-PT,pl,ʃkˌelˈetʊ,ʃkʲˈɛlɛt,0.857,0.169,0.166,4.149,Positive
shopping,currency,it,hu,vˈalʊta,vˈɑlutɑ,1.000,0.212,0.190,4.141,Positive
shopping,warranty,it,hu,ɡaɾantsˈia,ɡˈɑrɑntsiɑ,1.000,0.212,0.190,4.141,Positive
shoes,kamiks,en,es,kˈæmɪks,kamˈiks,1.000,0.226,0.187,4.134,Positive
business,rsum,da,el,ɐ̯sˈɒm,(en)ˈɑːsˈʌm(el),1.000,0.188,0.197,4.130,Positive
business,venture,da,el,(en)vˈɛntʃə(da),(en)vˈɛntʃə(el),1.000,0.188,0.197,4.130,Positive
business,offline,da,el,(en)ˈɒflaɪn(da),(en)ˈɒflaɪn(el),1.000,0.188,0.197,4.130,Positive
business,bonus,da,el,bˈʔonʔus,bˈonus,1.000,0.188,0.197,4.130,Positive
business,winwin,da,el,wˈʔinwʔin,(en)wˈɪnwɪn(el),1.000,0.188,0.197,4.130,Positive
business,online,da,el,(en)ˈɒnlaɪn(da),(en)ˈɒnlaɪn(el),1.000,0.188,0.197,4.130,Positive
school,smart,da,el,smˈɑt,(en)smˈɑːt(el),1.000,0.206,0.193,4.119,Positive
house,trim,da,hu,tʁˈʔim,trˈim,1.000,0.192,0.196,4.116,Positive
house,mat,da,hu,mˈat,mˈɑt,1.000,0.192,0.196,4.116,Positive
house,lanai,da,hu,lˈanaˌʔi,lˈɑnɑi,1.000,0.192,0.196,4.116,Positive
body,iris,es,da,ˈiɾis,ˈʔiʁʔis,1.000,0.209,0.192,4.115,Positive
personal qualities,buff,pl,hu,bˈuff,bˈuff,1.000,0.201,0.194,4.110,Positive
family,papa,de,PT-PT,pˈɑpɑː,pɐpˈa,1.000,0.204,0.194,4.098,Positive
family,pop,de,PT-PT,pˈoːp,pˈɔp,1.000,0.204,0.194,4.098,Positive
family,mama,de,PT-PT,mˈɑmɑː,mɐ̃mˈɐ̃,1.000,0.204,0.194,4.098,Positive
family,kith,de,PT-PT,kˈɪt,(en)kˈɪθ(pt-pt),1.000,0.204,0.194,4.098,Positive
house,lanai,cs,el,lˈanai,(en)lˈanaɪ(el),1.000,0.199,0.196,4.097,Positive
house,mat,cs,el,mˈat,(en)mˈat(el),1.000,0.199,0.196,4.097,Positive
house,trim,cs,el,trˈim,(en)tɹˈɪm(el),1.000,0.199,0.196,4.097,Positive
school,atlas,en,el,ˈætləs,(en)ˈatləs(el),1.000,0.199,0.196,4.096,Positive
body,waist,da,pl,tˈaljə,tˈalja,0.800,0.141,0.161,4.084,Positive
personal qualities,testy,en,pl,tˈɛsti,tˈɛstɨ,1.000,0.228,0.189,4.081,Positive
personal qualities,elfin,en,pl,ˈɛlfɪn,ˈɛlfin,1.000,0.228,0.189,4.081,Positive
personal qualities,chic,en,pl,ʃˈiːk,ʃˈɨk,1.000,0.228,0.189,4.081,Positive
shopping,style,it,el,stˈile,stˈil,0.800,0.212,0.144,4.078,Positive
shopping,coupon,cs,es,kˈupoːn,kupˈon,1.000,0.214,0.193,4.065,Positive
shopping,bill,cs,es,bˈil,bˈiʎ,1.000,0.214,0.193,4.065,Positive
shopping,electronics,cs,es,ˈelektrˌonika,ˌelektɾˈonika,1.000,0.214,0.193,4.065,Positive
house,shower,nl,el,dˈuʃ,dˈus,1.000,0.192,0.199,4.064,Positive
house,mat,nl,el,mˈɑt,(en)mˈat(el),1.000,0.192,0.199,4.064,Positive
house,trim,nl,el,trˈɪm,(en)tɹˈɪm(el),1.000,0.192,0.199,4.064,Positive
business,fax,cs,el,fˈaks,fˈaks,1.000,0.216,0.193,4.052,Positive
business,bonus,cs,el,bˈonus,bˈonus,1.000,0.216,0.193,4.052,Positive
business,temp,cs,el,tˈemp,(en)tˈɛmp(el),1.000,0.216,0.193,4.052,Positive
business,career,cs,el,kˈariˌeːra,kˌariˈera,1.000,0.216,0.193,4.052,Positive
business,net,cs,el,nˈet,(en)nˈɛt(el),1.000,0.216,0.193,4.052,Positive
emotions,agony,pl,el,aɡˈɔɲʲa,ˌaɣonˈia,0.833,0.171,0.164,4.045,Positive
personal qualities,alert,fr,pl,alˈɛʁt,ˈalɛrt,1.000,0.221,0.193,4.041,Positive
personal qualities,chic,fr,pl,ʃˈik,ʃˈɨk,1.000,0.221,0.193,4.041,Positive
personal qualities,paternalistic,nl,el,pˌaːtərnaːlˈɪstis,pˌaternˌalistikˈo,0.857,0.187,0.166,4.040,Positive
personal qualities,snobby,fr,el,snˈɔb,snˈob,1.000,0.226,0.192,4.039,Positive
personal qualities,groggy,fr,el,(en)ɡɹˈɒɡi(fr),(en)ɡɹˈɒɡi(el),1.000,0.226,0.192,4.039,Positive
personal qualities,eventempered,fr,el,(en)ɪvˈɛntɛmpəd(fr),(en)ɪvˈɛntɛmpəd(el),1.000,0.226,0.192,4.039,Positive
shopping,style,PT-PT,el,ʃtˈilʊ,stˈil,0.800,0.206,0.147,4.034,Positive
business,offline,de,el,(en)ˈɒflaɪn(de),(en)ˈɒflaɪn(el),1.000,0.198,0.199,4.034,Positive
business,fax,de,el,fˈɑːks,fˈaks,1.000,0.198,0.199,4.034,Positive
business,online,de,el,(en)ˈɒnlaɪn(de),(en)ˈɒnlaɪn(el),1.000,0.198,0.199,4.034,Positive
business,bonus,de,el,bˈoːnʊs,bˈonus,1.000,0.198,0.199,4.034,Positive
business,copyright,de,el,(en)kˈɒpɪɹˌaɪt(de),(en)kˈɒpɪɹˌaɪt(el),1.000,0.198,0.199,4.034,Positive
body,organs,pl,el,ɔrɡˈanɨ,ˈorɣanˌa,0.833,0.174,0.164,4.028,Positive
furniture,tansu,en,it,tˈænsuː,tˈansʊ,1.000,0.227,0.192,4.027,Positive
body,diaphragm,nl,el,dˌiɑfrˈɑɣmaː,ðiˈafraɣmˌa,1.000,0.192,0.201,4.024,Positive
shopping,style,da,el,stˈʔel,stˈil,0.750,0.169,0.145,4.012,Positive
house,fan,cs,it,vˈentilˌaːtor,ventilatˈore,0.909,0.199,0.177,4.007,Positive
house,shower,fr,NB,dˈuʃ,dˈʉʃ,1.000,0.190,0.202,4.005,Positive
personal qualities,paternalistic,it,el,paternalˈistiko,pˌaternˌalistikˈo,1.000,0.230,0.192,4.005,Positive
personal qualities,dainty,it,el,delikˈato,dˌelikˈato,1.000,0.230,0.192,4.005,Positive
personal qualities,realistic,it,el,realˈistiko,rˌealˌistikˈo,1.000,0.230,0.192,4.005,Positive
personal qualities,analytical,it,el,analˈitiko,ˌanalˌitikˈo,1.000,0.230,0.192,4.005,Positive
house,lanai,es,pl,lˈanaɪ,lanˈai,1.000,0.201,0.199,4.003,Positive
house,patio,es,pl,pˈatjo,pˈatjɔ,1.000,0.201,0.199,4.003,Positive
house,inglenook,es,pl,ˌiŋɡlenoˈok,ˌiŋɡlɛnˈɔɔk,1.000,0.201,0.199,4.003,Positive
house,column,es,pl,kolˈumna,kɔlˈumna,1.000,0.201,0.199,4.003,Positive
business,tariff,PT-PT,hu,tˌɐɾˈifɐ,tˈɑrifɑ,1.000,0.199,0.200,3.999,Positive
business,fax,PT-PT,hu,fˈaks,fˈɑks,1.000,0.199,0.200,3.999,Positive
business,capitalist,PT-PT,hu,kˌɐpitɐlˈiʃtɐ,kˈɑpitɑliʃtɑ,1.000,0.199,0.200,3.999,Positive
business,bonus,PT-PT,hu,bˈɔnuʃ,bˈoːnus,1.000,0.199,0.200,3.999,Positive
house,mop,pl,hu,mˈɔp,mˈop,1.000,0.192,0.202,3.996,Positive
house,lamp,pl,hu,lˈampa,lˈaːmpɑ,1.000,0.192,0.202,3.996,Positive
house,lanai,pl,hu,lanˈai,lˈɑnɑi,1.000,0.192,0.202,3.996,Positive
house,garage,pl,hu,ɡˈaraʃ,ɡˈɑraːʒ,1.000,0.192,0.202,3.996,Positive
house,inglenook,pl,hu,ˌiŋɡlɛnˈɔɔk,ˈinɡlɛnook,1.000,0.192,0.202,3.996,Positive
house,trim,el,NB,(en)tɹˈɪm(el),trˈiːm,1.000,0.211,0.198,3.992,Positive
house,shower,el,NB,dˈus,dˈʉʃ,1.000,0.211,0.198,3.992,Positive
house,lanai,el,NB,(en)lˈanaɪ(el),lˈanɑɪ,1.000,0.211,0.198,3.992,Positive
house,library,de,it,bˌɪblɪoːtˈeːk,bibliotˈɛka,0.900,0.209,0.173,3.987,Positive
house,vase,cs,PT-PT,vˈaːza,vˈazʊ,0.750,0.176,0.144,3.976,Positive
emotions,shock,it,el,ʃˈɔkː,sˈok,1.000,0.229,0.194,3.974,Positive
emotions,nirvana,it,el,nirvˈana,nirvˈana,1.000,0.229,0.194,3.974,Positive
emotions,hysteria,it,el,isterˈia,ˌisterˈia,1.000,0.229,0.194,3.974,Positive
emotions,agony,it,el,aɡonˈia,ˌaɣonˈia,1.000,0.229,0.194,3.974,Positive
emotions,sarcastic,it,el,sarkˈastiko,sˌarkastikˈo,1.000,0.229,0.194,3.974,Positive
body,iris,nl,hu,ˈirɪs,ˈiːris,1.000,0.180,0.207,3.970,Positive
family,clan,cs,da,klˈan,klˈan,1.000,0.217,0.197,3.969,Positive
family,nana,cs,da,nˈana,nˈana,1.000,0.217,0.197,3.969,Positive
house,library,de,fr,bˌɪblɪoːtˈeːk,bibliotˈɛk,1.000,0.196,0.203,3.963,Positive
family,clan,da,pl,klˈan,klˈan,1.000,0.210,0.200,3.956,Positive
family,nana,da,pl,nˈana,nˈana,1.000,0.210,0.200,3.956,Positive
house,lanai,ro,da,lanˈaɪ,lˈanaˌʔi,1.000,0.201,0.203,3.938,Positive
house,mat,ro,da,mˈat,mˈat,1.000,0.201,0.203,3.938,Positive
emotions,ecstasy,de,el,ˈɛkstazˌiː,ˈekstasˌi,0.857,0.182,0.172,3.932,Positive
business,coupon,el,NB,kupˈoni,kˈʉːpɔŋ,0.833,0.184,0.166,3.922,Positive
family,clan,en,pl,klˈæn,klˈan,1.000,0.233,0.196,3.918,Positive
family,mama,en,pl,mˈɑːmɐ,mˈama,1.000,0.233,0.196,3.918,Positive
emotions,alarm,pl,NB,ˈalarm,ˈalɑrm,1.000,0.194,0.206,3.918,Positive
emotions,nirvana,pl,NB,ɲirvˈana,nˈɪrvanˌɑ,1.000,0.194,0.206,3.918,Positive
emotions,shock,pl,NB,ʃˈɔk,ʃˈɔkː,1.000,0.194,0.206,3.918,Positive
furniture,tansu,en,PT-PT,tˈænsuː,tɐ̃ŋsˈu,1.000,0.242,0.194,3.911,Positive
furniture,lintel,en,PT-PT,lˈɪntəl,liŋtˈɛl,1.000,0.242,0.194,3.911,Positive
emotions,alarm,en,pl,ɐlˈɑːɹm,ˈalarm,1.000,0.221,0.199,3.909,Positive
family,clan,es,da,klˈan,klˈan,1.000,0.209,0.203,3.900,Positive
family,nana,es,da,nˈana,nˈana,1.000,0.209,0.203,3.900,Positive
house,lanai,it,da,lanˈaj,lˈanaˌʔi,0.800,0.195,0.155,3.899,Positive
family,clan,de,el,klˈɑːn,(en)klˈan(el),1.000,0.204,0.204,3.898,Positive
family,mama,de,el,mˈɑmɑː,(en)mˈamɐ(el),1.000,0.204,0.204,3.898,Positive
family,kith,de,el,kˈɪt,(en)kˈɪθ(el),1.000,0.204,0.204,3.898,Positive
family,papa,de,el,pˈɑpɑː,(en)pɐpˈɑː(el),1.000,0.204,0.204,3.898,Positive
family,miss,de,el,mˈɪs,(en)mˈɪs(el),1.000,0.204,0.204,3.898,Positive
family,daddy,de,el,dˈadiː,(en)dˈadi(el),1.000,0.204,0.204,3.898,Positive
family,papa,hu,el,pˈɑpɑ,(en)pɐpˈɑː(el),1.000,0.210,0.203,3.894,Positive
family,monogamy,hu,el,mˈonoɡaːmiɑ,mˌonoɣamˈia,1.000,0.210,0.203,3.894,Positive
family,clan,hu,el,klˈaːn,(en)klˈan(el),1.000,0.210,0.203,3.894,Positive
family,mama,hu,el,mˈɑmɑ,(en)mˈamɐ(el),1.000,0.210,0.203,3.894,Positive
personal qualities,stoic,hu,el,stˈoikuʃ,stˌoikˈos,0.857,0.190,0.171,3.894,Positive
house,cornice,en,fr,kˈɔːɹnɪs,kɔʁnˈiʃ,1.000,0.214,0.202,3.889,Positive
house,mat,en,fr,mˈæt,mˈat,1.000,0.214,0.202,3.889,Positive
shoes,kamiks,en,PT-PT,kˈæmɪks,kɐ̃mˈikʃ,1.000,0.263,0.190,3.887,Positive
emotions,sarcastic,ro,el,sarkˈastik,sˌarkastikˈo,0.900,0.201,0.180,3.880,Positive
house,garage,fr,pl,ɡaʁˈaʒ,ɡˈaraʃ,1.000,0.204,0.205,3.878,Positive
house,portico,fr,pl,pɔʁtˈik,pˈɔrtɨk,1.000,0.204,0.205,3.878,Positive
shopping,electronics,es,el,ˌelektɾˈonika,ˌilektrˌonikˈa,0.909,0.221,0.177,3.877,Positive
shopping,electronics,fr,hu,elɛktʁonˈik,ˈɛlɛktronikɑ,0.909,0.206,0.181,3.875,Positive
family,clan,it,da,klˈan,klˈan,1.000,0.202,0.206,3.873,Positive
family,nana,it,da,nˈana,nˈana,1.000,0.202,0.206,3.873,Positive
business,currency,da,hu,ʋalˈʔuta,vˈɑlutɑ,1.000,0.199,0.207,3.870,Positive
business,bonus,da,hu,bˈʔonʔus,bˈoːnus,1.000,0.199,0.207,3.870,Positive
