topic,source_word,en,de,nl,cs,it,es,PT-PT,ro,da,fr,pl,hu,el,NB
animals,basset hound,basset hound,dachshund,,,,basset hound,basset hound,,,,,,,
animals,bat,bat,fledermaus,,,,murciélago,taco,,,,,,,
animals,beagle,beagle,beagle,,,,beagle,beagle,,,,,,,
animals,bear,bear,bär,,,,oso,urso,,,,,,,
animals,bearded dragon,bearded dragon,bartagame,,,,dragón barbudo,dragão barbudo,,,,,,,
animals,beaver,beaver,biber,,,,castor,castor,,,,,,,
animals,bed bug,bed bug,bettwanze,,,,chinche,percevejo,,,,,,,
animals,bee,bee,biene,,,,abeja,abelha,,,,,,,
animals,beetle,beetle,käfer,,,,escarabajo,escaravelho,,,,,,,
animals,beluga whale,beluga whale,beluga-wal,,,,beluga,baleia beluga,,,,,,,
animals,bichon frise,bichon frise,bichon frise,,,,bichón frisé,bichon frise,,,,,,,
animals,bighorn sheep,bighorn sheep,dickhornschaf,,,,borrego cimarrón,ovelha selvagem,,,,,,,
animals,bilby,bilby,bilby,,,,bilby,bilby,,,,,,,
animals,binturong,binturong,binturong,,,,binturong,binturonga,,,,,,,
animals,bird,bird,vogel,,,,pájaro,ave,,,,,,,
animals,bison,bison,bison,,,,bisonte,bisonte,,,,,,,
animals,bivalve,bivalve,zweischalige muschel,,,,bivalvo,bivalve,,,,,,,
animals,black bear,black bear,schwarzbär,,,,oso negro,urso preto,,,,,,,
animals,black bear hamster,black bear hamster,schwarzer bär hamster,,,,hámster oso negro,hamster urso preto,,,,,,,
animals,black caiman,black caiman,schwarzer kaiman,,,,caimán negro,jacaré preto,,,,,,,
animals,black racer,black racer,schwarzer renner,,,,corredor negro,corredor preto,,,,,,,
animals,black swan,black swan,schwarzer schwan,,,,cisne negro,cisne negro,,,,,,,
animals,blackbird,blackbird,amsel,,,,mirlo,melro,,,,,,,
animals,bloodhound,bloodhound,bluthund,,,,sabueso,cão de caça,,,,,,,
animals,blowfish,blowfish,kugelfisch,,,,pez globo,peixe-balão,,,,,,,
animals,blue jay,blue jay,blauhäher,,,,arrendajo azul,gaio azul,,,,,,,
animals,blue morpho butterfly,blue morpho butterfly,blauer morpho-schmetterling,,,,mariposa morfo azul,borboleta morfo azul,,,,,,,
animals,blue ring octopus,blue ring octopus,blauring-oktopus,,,,pulpo de anillos azules,polvo de anel azul,,,,,,,
animals,blue shark,blue shark,blauhai,,,,tiburón azul,tubarão azul,,,,,,,
animals,blue whale,blue whale,blauwal,,,,ballena azul,baleia azul,,,,,,,
animals,bluebird,bluebird,bluebird,,,,pájaro azul,pássaro azul,,,,,,,
animals,bluefin tuna,bluefin tuna,blauflossenthunfisch,,,,atún rojo,atum rabilho,,,,,,,
animals,bluetongued skink,bluetongued skink,blauzungenskink,,,,eslizón de lengua azul,rinoceronte azulado,,,,,,,
animals,boa constrictor,boa constrictor,boa constrictor,,,,boa constrictora,jiboia,,,,,,,
animals,bobcat,bobcat,luchs,,,,bobcat,lince,,,,,,,
animals,bongo,bongo,bongo,,,,bongo,bongô,,,,,,,
animals,bonobo,bonobo,bonobo,,,,bonobo,bonobo,,,,,,,
animals,bony fish,bony fish,knochenfische,,,,pez óseo,peixes ósseos,,,,,,,
animals,border collie,border collie,border collie,,,,border collie,border collie,,,,,,,
animals,boston terrier,boston terrier,boston terrier,,,,boston terrier,boston terrier,,,,,,,
animals,bowhead whale,bowhead whale,grönlandwal,,,,ballena de groenlandia,baleia-da-índia,,,,,,,
animals,box turtle,box turtle,sumpfschildkröte,,,,tortuga de caja,tartaruga de caixa,,,,,,,
animals,boxer,boxer,boxer,,,,boxeador,boxeador,,,,,,,
animals,brittle star,brittle star,schlangenstern,,,,estrella frágil,estrela quebradiça,,,,,,,
animals,brown bear,brown bear,braunbär,,,,oso pardo,urso castanho,,,,,,,
animals,brown pelican,brown pelican,braunpelikan,,,,pelícano pardo,pelicano castanho,,,,,,,
animals,buffalo,buffalo,büffel,,,,búfalo,búfalo,,,,,,,
animals,bug,bug,fehler,,,,error,inseto,,,,,,,
animals,bull,bull,bulle,,,,toro,touro,,,,,,,
animals,bull shark,bull shark,bullenhai,,,,tiburón toro,tubarão-touro,,,,,,,
animals,bull snake,bull snake,bullenschlange,,,,serpiente toro,cobra-touro,,,,,,,
animals,bulldog,bulldog,bulldogge,,,,bulldog,bulldog,,,,,,,
animals,bullfrog,bullfrog,ochsenfrosch,,,,rana toro,rã-touro,,,,,,,
animals,bumblebee,bumblebee,hummeln,,,,abejorro,abelha,,,,,,,
animals,bushbaby,bushbaby,bushbaby,,,,bushbaby,bebé do mato,,,,,,,
animals,butterfly,butterfly,schmetterling,,,,mariposa,borboleta,,,,,,,
animals,caiman,caiman,kaiman,,,,caimán,jacaré,,,,,,,
animals,california sea lion,california sea lion,kalifornischer seelöwe,,,,león marino de california,leão-marinho da califórnia,,,,,,,
animals,camel,camel,kamel,,,,camello,camelo,,,,,,,
animals,canada goose,canada goose,kanadagans,,,,ganso canadiense,ganso canadiano,,,,,,,
animals,canary,canary,kanarienvogel,,,,canario,canário,,,,,,,
animals,cape buffalo,cape buffalo,kaffeesatzleserei,,,,cabo búfalo,cabo búfalo,,,,,,,
animals,cape hunting dog,cape hunting dog,kapjagdhund,,,,perro de caza del cabo,cão de caça do cabo,,,,,,,
animals,capybera,capybera,capybera,,,,capybera,capivaras,,,,,,,
animals,caracal,caracal,karakal,,,,caracal,caracal,,,,,,,
animals,cardinal,cardinal,kardinal,,,,cardinal,cardeal,,,,,,,
animals,caribou,caribou,karibu,,,,caribú,caribu,,,,,,,
animals,carnivora,carnivora,carnivora,,,,carnívora,carnívora,,,,,,,
animals,carpenter ant,carpenter ant,zimmermannsameise,,,,hormiga carpintera,formiga carpinteira,,,,,,,
animals,cassowary,cassowary,kasuar,,,,casuario,casuar,,,,,,,
animals,cat,cat,katze,,,,cat,gato,,,,,,,
animals,catamount,catamount,.,,,,catamount,catamonte,,,,,,,
animals,caterpillar,caterpillar,raupe,,,,oruga,lagarta,,,,,,,
animals,cattle,cattle,vieh,,,,ganado,gado,,,,,,,
animals,cavy,cavy,meerschweinchen,,,,cavy,galinha,,,,,,,
animals,centipede,centipede,tausendfüßler,,,,ciempiés,centopeia,,,,,,,
animals,cephalpod,cephalpod,kopffüßer,,,,cefalópodo,cefalópode,,,,,,,
animals,chameleon,chameleon,chamäleon,,,,camaleón,camaleão,,,,,,,
animals,cheetah,cheetah,gepard,,,,guepardo,chita,,,,,,,
animals,chickadee,chickadee,meisenknacker,,,,chickadee,pintassilgo,,,,,,,
animals,chicken,chicken,huhn,,,,pollo,galinha,,,,,,,
animals,chihuahua,chihuahua,chihuahua,,,,chihuahua,chihuahua,,,,,,,
animals,chimipanzee,chimipanzee,chimipanzee,,,,chimipanzee,chimipanzé,,,,,,,
animals,chinchilla,chinchilla,chinchilla,,,,chinchilla,chinchila,,,,,,,
animals,chipmunk,chipmunk,streifenhörnchen,,,,ardilla listada,esquilo,,,,,,,
animals,chiton,chiton,chiton,,,,chitón,quíton,,,,,,,
animals,chrysalis,chrysalis,puppenhaus,,,,crisálida,crisálida,,,,,,,
animals,cicada,cicada,zikade,,,,cigarra,cigarra,,,,,,,
animals,clam,clam,muschel,,,,almeja,amêijoa,,,,,,,
animals,clownfish,clownfish,clownfisch,,,,pez payaso,peixe-palhaço,,,,,,,
animals,coati,coati,nasenbär,,,,coati,quati,,,,,,,
animals,cobra,cobra,kobra,,,,cobra,cobra,,,,,,,
animals,cockatoo,cockatoo,kakadu,,,,cacatúa,catatua,,,,,,,
animals,cockroach,cockroach,kakerlake,,,,cucaracha,barata,,,,,,,
animals,cod,cod,kabeljau,,,,bacalao,bacalhau,,,,,,,
animals,coelacanth,coelacanth,quastenflosser,,,,celacanto,celacanto,,,,,,,
animals,collared lizard,collared lizard,kragenechse,,,,lagarto de collar,lagarto de coleira,,,,,,,
animals,collared peccary,collared peccary,halsbandpekari,,,,pecarí de collar,queixada de colarinho,,,,,,,
animals,collie,collie,collie,,,,collie,collie,,,,,,,
animals,colugo,colugo,colugo,,,,colugo,colugo,,,,,,,
animals,common rhea,common rhea,nilheu,,,,ñandú común,ema comum,,,,,,,
animals,companion dog,companion dog,begleithund,,,,perro de compañía,cão de companhia,,,,,,,
animals,conch,conch,muschel,,,,concha,búzio,,,,,,,
animals,cookiecutter shark,cookiecutter shark,zigarrenkutterhai,,,,tiburón cookiecutter,tubarão-cozinheiro,,,,,,,
animals,copepod,copepod,copepoden,,,,copépodos,copépode,,,,,,,
animals,copperhead snake,copperhead snake,kupferkopfschlange,,,,serpiente cabeza de cobre,serpente copperhead,,,,,,,
animals,coral,coral,koralle,,,,coral,coral,,,,,,,
animals,coral snake,coral snake,korallenschlange,,,,serpiente de coral,cobra coral,,,,,,,
animals,corn snake,corn snake,kornnatter,,,,serpiente de maíz,cobra do milho,,,,,,,
animals,cottonmouth,cottonmouth,baumwollmaul,,,,boca de algodón,boca-de-algodão,,,,,,,
animals,cougar,cougar,puma,,,,puma,puma,,,,,,,
animals,cow,cow,kuh,,,,vaca,vaca,,,,,,,
animals,coyote,coyote,kojote,,,,coyote,coiote,,,,,,,
animals,coypu,coypu,coypu,,,,coypu,coypu,,,,,,,
animals,crab,crab,krabbe,,,,cangrejo,caranguejo,,,,,,,
animals,crane,crane,kran,,,,grúa,grua,,,,,,,
animals,crayfish,crayfish,flusskrebse,,,,cangrejo de río,lagostim,,,,,,,
animals,cricket,cricket,kricket,,,,cricket,cricket,,,,,,,
animals,crocodile,crocodile,krokodil,,,,cocodrilo,crocodilo,,,,,,,
animals,crow,crow,krähe,,,,cuervo,corvo,,,,,,,
animals,crustacean,crustacean,krustentiere,,,,crustáceo,crustáceo,,,,,,,
animals,cryptoclidus,cryptoclidus,kryptoclidus,,,,cryptoclidus,criptoclídeo,,,,,,,
animals,cuttlefish,cuttlefish,tintenfisch,,,,sepia,choco,,,,,,,
animals,cutworm,cutworm,cutworm,,,,gusano cortador,bicho-pau,,,,,,,
animals,dachshund,dachshund,dackel,,,,perro salchicha,teckel,,,,,,,
animals,dall sheep,dall sheep,dickhornschaf,,,,oveja de dall,ovelha dall,,,,,,,
animals,dalls porpoise,dalls porpoise,dall-hafenschweinswal,,,,marsopa dalls,boto-corvineiro,,,,,,,
animals,dalmatian,dalmatian,dalmatinisch,,,,dálmata,dálmata,,,,,,,
animals,damselfly,damselfly,kleinlibelle,,,,caballito del diablo,libélula,,,,,,,
animals,darkeyed junco,darkeyed junco,schwarzäugiger wacholder,,,,junco careto,junco-de-bico-escuro,,,,,,,
animals,darkling beetle,darkling beetle,schwarzkäfer,,,,escarabajo oscuro,escaravelho,,,,,,,
animals,deer,deer,hirsch,,,,ciervo,veado,,,,,,,
animals,deinonychus,deinonychus,deinonychus,,,,deinonychus,deinoníaco,,,,,,,
animals,desert tortoise,desert tortoise,wüstenschildkröte,,,,tortuga del desierto,tartaruga do deserto,,,,,,,
animals,desmatosuchus,desmatosuchus,desmatosuchus,,,,desmatosuchus,desmatosuchus,,,,,,,
animals,dhole,dhole,dhole,,,,dhole,buraco,,,,,,,
animals,diatom,diatom,kieselalge,,,,diatomeas,diatomácea,,,,,,,
animals,dilophosaurus,dilophosaurus,dilophosaurus,,,,dilophosaurus,dilophosaurus,,,,,,,
animals,dimetrodon,dimetrodon,dimetrodon,,,,dimetrodon,dimetrodo,,,,,,,
animals,dingo,dingo,dingo,,,,dingo,dingo,,,,,,,
animals,dinichthys,dinichthys,dinichthys,,,,dinichthys,dinichthys,,,,,,,
animals,dinornis,dinornis,dinornis,,,,dinornis,dinornis,,,,,,,
animals,dinosaur,dinosaur,dinosaurier,,,,dinosaurio,dinossauro,,,,,,,
animals,diplodocus,diplodocus,diplodocus,,,,diplodocus,diplodoco,,,,,,,
animals,doberman pinscher,doberman pinscher,dobermannpinscher,,,,doberman pinscher,doberman pinscher,,,,,,,
animals,dodo,dodo,dodo,,,,dodo,dodó,,,,,,,
animals,doedicurus,doedicurus,doedicurus,,,,doedicurus,doedicurus,,,,,,,
animals,dog,dog,hund,,,,perro,cão,,,,,,,
animals,dogfish,dogfish,hundshai,,,,pintarroja,cação,,,,,,,
animals,dolphin,dolphin,delphin,,,,delfín,golfinho,,,,,,,
animals,dolphin bottlenose,dolphin bottlenose,"großer tümmler, delphin",,,,delfín mular,golfinho roaz-corvineiro,,,,,,,
animals,dolphin spotted,dolphin spotted,delfin gesichtet,,,,delfín avistado,golfinho avistado,,,,,,,
animals,donkey,donkey,esel,,,,burro,burro,,,,,,,
animals,dory,dory,dory,,,,dory,marinheiro,,,,,,,
animals,dove,dove,taube,,,,paloma,pomba,,,,,,,
animals,downy woodpecker,downy woodpecker,dunenspecht,,,,pájaro carpintero downy,pica-pau-da-rocha,,,,,,,
animals,dragonfly,dragonfly,libelle,,,,libélula,libélula,,,,,,,
animals,dromedary,dromedary,dromedar,,,,dromedario,dromedário,,,,,,,
animals,duck,duck,ente,,,,pato,pato,,,,,,,
animals,duckbilled platypus,duckbilled platypus,schnabeltier,,,,ornitorrinco,ornitorrinco bico de pato,,,,,,,
animals,dugong,dugong,dugong,,,,dugongo,dugongo,,,,,,,
animals,dung beetle,dung beetle,mistkäfer,,,,escarabajo pelotero,escaravelho do estrume,,,,,,,
animals,dunkleosteus,dunkleosteus,dunkleosteus,,,,dunkleosteus,dunkleosteus,,,,,,,
animals,eagle,eagle,adler,,,,águila,águia,,,,,,,
animals,earthworm,earthworm,regenwurm,,,,lombriz de tierra,minhoca,,,,,,,
animals,earwig,earwig,ohrwurm,,,,tijereta,pernilongo,,,,,,,
animals,eastern bluebird,eastern bluebird,rotkehl-hüttensänger,,,,pájaro azul oriental,pássaro azul do leste,,,,,,,
animals,eastern quoll,eastern quoll,ostkapsel,,,,quoll oriental,quoll oriental,,,,,,,
animals,echidna,echidna,echidna,,,,equidna,equidna,,,,,,,
animals,echinoderms,echinoderms,stachelhäuter,,,,equinodermos,equinodermes,,,,,,,
animals,edenta,edenta,edenta,,,,edenta,edenta,,,,,,,
animals,edmontonia,edmontonia,edmontonia,,,,edmontonia,edmontonia,,,,,,,
animals,edmontosaurus,edmontosaurus,edmontosaurus,,,,edmontosaurio,edmontossauro,,,,,,,
animals,eel,eel,aal,,,,anguila,enguia,,,,,,,
animals,egg,egg,ei,,,,huevo,ovo,,,,,,,
animals,egret,egret,seidenreiher,,,,garceta,garça,,,,,,,
animals,ekaltadelta,ekaltadelta,ekaltadelta,,,,ekaltadelta,ekaltadelta,,,,,,,
animals,eland,eland,eland,,,,eland,elândia,,,,,,,
animals,elasmosaurus,elasmosaurus,elasmosaurus,,,,elasmosaurus,elasmossauro,,,,,,,
animals,elasmotherium,elasmotherium,elasmotherium,,,,elasmotherium,elastómero,,,,,,,
animals,electric eel,electric eel,zitteraal,,,,anguila eléctrica,enguia eléctrica,,,,,,,
animals,elephant,elephant,elefant,,,,elefante,elefante,,,,,,,
animals,elephant seal,elephant seal,seeelefant,,,,elefante marino,elefante-marinho,,,,,,,
animals,elk,elk,elch,,,,alce,alce,,,,,,,
animals,emerald tree boa,emerald tree boa,smaragdbaumboa,,,,boa esmeralda,jiboia-esmeralda,,,,,,,
animals,emperor angelfish,emperor angelfish,imperator-kaiserfisch,,,,pez ángel emperador,peixe-anjo imperador,,,,,,,
animals,emperor penguin,emperor penguin,kaiserpinguin,,,,pingüino emperador,pinguim-imperador,,,,,,,
animals,emu,emu,emu,,,,emu,emu,,,,,,,
animals,endangered species,endangered species,vom aussterben bedrohte arten,,,,especies amenazadas,espécies ameaçadas,,,,,,,
animals,eohippus,eohippus,eohippus,,,,eohippus,ehippus,,,,,,,
animals,eoraptor,eoraptor,eoraptor,,,,eoraptor,eoraptor,,,,,,,
animals,ermine,ermine,hermelin,,,,armiño,arminho,,,,,,,
animals,estemmenosuchus,estemmenosuchus,estemmenosuchus,,,,estemmenosuchus,estemmenosuchus,,,,,,,
animals,extinct animals,extinct animals,ausgestorbene tiere,,,,animales extinguidos,animais extintos,,,,,,,
animals,fabrosaurus,fabrosaurus,fabrosaurus,,,,fabrosaurus,fabrosaurus,,,,,,,
animals,falcon,falcon,falke,,,,halcón,falcão,,,,,,,
animals,farm animals,farm animals,nutztiere,,,,animales de granja,animais de quinta,,,,,,,
animals,fennec fox,fennec fox,fennekfuchs,,,,zorro fennec,raposa de fennec,,,,,,,
animals,ferret,ferret,frettchen,,,,hurón,furão,,,,,,,
animals,fiddler crab,fiddler crab,winkerkrabbe,,,,cangrejo violinista,caranguejo violinista,,,,,,,
animals,fin whale,fin whale,finnwal,,,,rorcual común,baleia-comum,,,,,,,
animals,finch,finch,fink,,,,pinzón,tentilhão,,,,,,,
animals,fireant,fireant,fireant,,,,fireant,incendiário,,,,,,,
animals,firefly,firefly,glühwürmchen,,,,luciérnaga,pirilampo,,,,,,,
animals,fish,fish,fisch,,,,pescado,peixe,,,,,,,
animals,flamingo,flamingo,flamingo,,,,flamenco,flamingo,,,,,,,
animals,flatworm,flatworm,plattwurm,,,,gusano plano,verme chato,,,,,,,
animals,flea,flea,floh,,,,pulga,pulga,,,,,,,
animals,flightless birds,flightless birds,flugunfähige vögel,,,,aves no voladoras,aves que não voam,,,,,,,
animals,flounder,flounder,flunder,,,,platija,solha,,,,,,,
animals,fly,fly,fliege,,,,mosca,voar,,,,,,,
animals,flying fish,flying fish,fliegende fische,,,,pez volador,peixe voador,,,,,,,
animals,flying squirrel,flying squirrel,flughörnchen,,,,ardilla voladora,esquilo voador,,,,,,,
animals,forest antelope,forest antelope,waldantilope,,,,antílope forestal,antílope da floresta,,,,,,,
animals,forest giraffe,forest giraffe,waldgiraffe,,,,jirafa del bosque,girafa da floresta,,,,,,,
animals,fossa,fossa,fossa,,,,fosa,fossa,,,,,,,
animals,fowl,fowl,hühner,,,,ave,ave,,,,,,,
animals,fox,fox,fuchs,,,,zorro,raposa,,,,,,,
animals,frilled lizard,frilled lizard,kragenechse,,,,lagarto con volantes,lagarto com folhos,,,,,,,
animals,frog,frog,frosch,,,,rana,rã,,,,,,,
animals,fruit bat,fruit bat,flughund,,,,murciélago frugívoro,morcego frugívoro,,,,,,,
animals,fruit fly,fruit fly,fruchtfliege,,,,mosca de la fruta,mosca da fruta,,,,,,,
animals,fugu,fugu,fugu,,,,fugu,fugu,,,,,,,
animals,galagos,galagos,galagos,,,,galagos,galagos,,,,,,,
animals,galapagos shark,galapagos shark,galapagoshai,,,,tiburón de las galápagos,tubarão das galápagos,,,,,,,
animals,gar,gar,gar,,,,gar,gar,,,,,,,
animals,gastropod,gastropod,schnecke,,,,gasterópodo,gastrópode,,,,,,,
animals,gavial,gavial,gavial,,,,gavial,gavial,,,,,,,
animals,gazelle,gazelle,gazelle,,,,gacela,gazela,,,,,,,
animals,gecko,gecko,gecko,,,,gecko,osga,,,,,,,
animals,gerbil,gerbil,rennmaus,,,,jerbo,gerbo,,,,,,,
animals,german shepherd,german shepherd,deutscher schäferhund,,,,pastor alemán,pastor alemão,,,,,,,
animals,giant squid,giant squid,riesenkrake,,,,calamar gigante,lula gigante,,,,,,,
animals,gibbon,gibbon,gibbon,,,,gibón,gibão,,,,,,,
animals,gila monster,gila monster,gilamonster,,,,monstruo de gila,monstro de gila,,,,,,,
animals,giraffe,giraffe,giraffe,,,,jirafa,girafa,,,,,,,
animals,glyptodon,glyptodon,glyptodon,,,,glyptodon,gliptodonte,,,,,,,
animals,gnat,gnat,mücke,,,,mosquito,mosquito,,,,,,,
animals,gnu,gnu,gnu,,,,gnu,gnu,,,,,,,
animals,goat,goat,ziege,,,,cabra,cabra,,,,,,,
animals,golden eagle,golden eagle,steinadler,,,,águila real,águia-real,,,,,,,
animals,golden lion tamarin,golden lion tamarin,goldlöwen-tamarin,,,,tamarino león dorado,mico-leão-dourado,,,,,,,
animals,golden retriever,golden retriever,golden retriever,,,,golden retriever,golden retriever,,,,,,,
animals,goldfinch,goldfinch,stieglitz,,,,jilguero,pintassilgo,,,,,,,
animals,goldfish,goldfish,goldfisch,,,,carpa dorada,peixe dourado,,,,,,,
animals,goose,goose,gans,,,,ganso,ganso,,,,,,,
animals,gopher,gopher,gopher,,,,topo,esquilo,,,,,,,
animals,gorilla,gorilla,gorilla,,,,gorila,gorila,,,,,,,
animals,grasshopper,grasshopper,heuschrecke,,,,saltamontes,gafanhoto,,,,,,,
animals,gray whale,gray whale,grauwal,,,,ballena gris,baleia cinzenta,,,,,,,
animals,great apes,great apes,menschenaffen,,,,grandes simios,grandes símios,,,,,,,
animals,great dane,great dane,deutsche dogge,,,,gran danés,dinamarquês grande,,,,,,,
animals,great egret,great egret,silberreiher,,,,garceta grande,garça-branca-grande,,,,,,,
animals,great horned owl,great horned owl,waldohreule,,,,búho cornudo,coruja de chifre grande,,,,,,,
animals,great white shark,great white shark,weißer hai,,,,gran tiburón blanco,grande tubarão branco,,,,,,,
animals,green darner dragonfly,green darner dragonfly,grüne keiljungfer,,,,libélula verde,libélula verde,,,,,,,
animals,green iguana,green iguana,grüner leguan,,,,iguana verde,iguana verde,,,,,,,
animals,greenland shark,greenland shark,grönlandhai,,,,tiburón de groenlandia,tubarão-da-groenlândia,,,,,,,
animals,greyhound,greyhound,windhund,,,,galgo,galgo,,,,,,,
animals,grizzly bear,grizzly bear,grizzlybär,,,,oso pardo,urso pardo,,,,,,,
animals,groundhog,groundhog,murmeltier,,,,marmota,marmota,,,,,,,
animals,grouper,grouper,zackenbarsch,,,,mero,garoupa,,,,,,,
animals,grouse,grouse,raufußhühner,,,,urogallo,galo silvestre,,,,,,,
animals,grub,grub,grub,,,,grub,comida,,,,,,,
animals,guinea pig,guinea pig,meerschweinchen,,,,cobaya,porquinho-da-índia,,,,,,,
animals,gull,gull,möwe,,,,gaviota,gaivota,,,,,,,
animals,gulper eel,gulper eel,schmerlenaale,,,,anguila barrenadora,enguia,,,,,,,
animals,hammerhead shark,hammerhead shark,hammerhai,,,,tiburón martillo,tubarão-martelo,,,,,,,
animals,hamster,hamster,hamster,,,,hámster,hamster,,,,,,,
animals,hare,hare,hase,,,,liebre,lebre,,,,,,,
animals,harlequin bug,harlequin bug,raubwanze,,,,bicho arlequín,inseto arlequim,,,,,,,
animals,harp seal,harp seal,sattelrobbe,,,,foca arpa,foca harpa,,,,,,,
animals,harpy eagle,harpy eagle,harpyienadler,,,,águila harpía,águia harpia,,,,,,,
animals,hatchetfish,hatchetfish,beilbauch,,,,pez hacha,peixe-chapéu,,,,,,,
animals,hawaiian goose,hawaiian goose,hawaii-gans,,,,ganso de hawaii,ganso do havaí,,,,,,,
animals,hawk,hawk,habicht,,,,halcón,falcão,,,,,,,
animals,hedgehog,hedgehog,igel,,,,erizo,ouriço,,,,,,,
animals,hen,hen,hen,,,,hen,galinha,,,,,,,
animals,hermit crab,hermit crab,einsiedlerkrebs,,,,cangrejo ermitaño,caranguejo eremita,,,,,,,
