topic,source_word,en,de,nl,cs,it,es,PT-PT,ro,da,fr,pl,hu,el,NB
animals,albatross,ˈælbɐtɹˌɔs,ˈalbatɾˌoːs,ˈɑlbɑtrˌɔs,ˈalbatros,albˈatros,alβˈatɾos,ˌɑlbɐtɹˈɔʃ,ˌalbatrˈos,ˈalbatʁˌʔos,albatʁˈɔs,albˈatrɔs,ˈɑlbɑtros,ˈalbatrˌos,ˈɑlbɑtrˌɔs
animals,algae,ˈælɡiː,ˈalɡən,ˈɑlɣən,r̝ˈasi,ˈalɡe,ˈalɣas,ˈɑlɡɐʃ,ˈaldʒe,ˈaljʔʌ,ˈalɡ,ɡlˈɔnɨ,ˈɑlɡɑ,fˈica,ˈɑlɡər
animals,alligator,ˈælᵻɡˌeɪɾɚ,ˌalɪɡˈɑtoːɾ,ˌɑliɣˈaːtɔr,ˈaliɡˌaːtor,alliɡatˈore,kaɪmˈan,kɹˌukudˈilʊ,ˌaliɡatˈor,ˌaliɡˈatʌ,aliɡatˈɔʁ,ˌaliɡˈatɔr,ˈɑlliɡaːtor,ˌaliɣˈatorˌas,ˈɑlliːɡˌatuːr
animals,alpaca,ælpˈækə,ˈalpakˌɑː,ɑlpˈaːkaː,ˈalpaka,ˈalpaka,alpˈaka,ˌɑlpˈakɐ,alpˈaka,ˈalp?ɑkˌa,alpaɡˈa,alpˈaka,ˈɑlpɑkɑ,ˌalpakˈa,ˈɑlpɑkːˌɑ
animals,american bison,ɐmˈɛɹɪkən bˈaɪsən,ˌɑmeːriːkˈɑnɪʃɜ bˈiːzoːn,ˈaːmɪːrˌikaːnsə bizˈɔn,ˈamerˌitskiː bˈizon,bizˈonte amerikˈano,bisˈonte ˌameɾikˈano,bˌizˈoŋtɨ ɐmˌeɾikˈɐ̃nʊ,bizˈon ˌameɾikˈan,ˌ?ɑməʁʔikˈansk bˈʔisʔʌn,bizˈɔ̃ dameʁˈik,ʒˈubr ˌamɛrɨkˈaɲski,ˈɑmɛrikɑi bˈøleːɲ,ˌamerˌikanikˈoz vˈisonˌas,ˈameːrˌiːkɑnsk bˈiːsuːn
animals,american cocker spaniel,ɐmˈɛɹɪkən kˈɑːkɚ spˈænjəl,ˌɑmeːriːkˈɑnɪʃɜ kˈɔkɜʃpˌɑniːl,ˈaːmɪːrˌikaːnsə kˈɔkər spaːnˈil,ˈamerˌitskiː kˈokr̩ʃpˌaɲel,kˈokːer spˈanjel amerikˈano,kokˈeɾ spanjˈel ˌameɾikˈano,kukˈeɹ spɐniˈɛl ɐmˌeɾikˈɐ̃nʊ,kokkˈer spanjˈel ˌameɾikˈan,ˌ?ɑməʁʔikˈansk kˈʔʌkʔʌ spˈanʔiəl,kɔkˈɛʁ ameʁikˈɛ̃,kˈɔkɛr spˈaɲʲɛl ˌamɛrɨkˈaɲski,ˈɑmɛrikɑi tsˈotskɛr ʃpˈaːniɛl,ˌamerˌikanikˈo kˈocer spˈaɲel,ˈameːrˌiːkɑnsk kˈɔkkər spˈaniːəl
animals,american crocodile,ɐmˈɛɹɪkən kɹˈɑːkədˌaɪl,ˌɑmeːriːkˈɑnɪʃəs kɾˌoːkoːdˈiːl,ˈaːmɪːrˌikaːnsə krˈoːkoːdˌɪl,krˈokodiːl ˈamerˌitskiː,kokːodrˈillo amerikˈano,kˌokoðɾˈilo ˌameɾikˈano,kɹˌukudˈilw ɐmˌeɾikˈɐ̃nʊ,krˌokodˈil ˌameɾikˈan,ˌ?ɑməʁʔikˈansk kʁˌɔkʔoðˈʔilə,kʁokodˈil ameʁikˈɛ̃,krɔkˈɔdɨl ˌamɛrɨkˈaɲski,ˈɑmɛrikɑi krˈokodil,ˌamerˌikanikˈos krokˈoðilˌos,ˈameːrˌiːkɑnsk krˈuːkuːdˌɪlla
animals,american flamingo,ɐmˈɛɹɪkən flɐmˈɪŋɡoʊ,ˌɑmeːriːkˈɑnɪʃɜ flamˈɪŋoː,ˈaːmɪːrˌikaːnsə flaːmˈɪŋoː,ˈamerˌitskiː plˈameɲaːk,fenikˈɔtːero amerikˈano,flamˈɛnko ˌameɾikˈano,flɐmˈiŋɡw ɐmˌeɾikˈɐ̃nʊ,flamˈiŋɡo ˌameɾikˈan,ˌ?ɑməʁʔikˈansk flamˈʔenɡʔo,flamˈɑ̃ ameʁikˈɛ̃,flˈamiŋk ˌamɛrɨkˈaɲski,ˈɑmɛrikɑi flˈɑminɡoː,ˌamerˌikanikˈo flamˈinɡo,ˈameːrˌiːkɑnsk flˈamɪŋˌuː
animals,american golden plover,ɐmˈɛɹɪkən ɡˈoʊldən plˈʌvɚ,ˌɑmeːriːkˈɑnɪʃɜ ɡˈɔldɾeːɡˌɛnpfaɪfɜ,ˈaːmɪːrˌikaːnsə ɣˌʌʊdpləvˈir,ˈamerˌitskiː zlˈatohlˌaːvek,piviˈɛre dorˈato amerikˈano,tʃoɾlˈito ðoɾˈaðo ˌameɾikˈano,tˌɐɾɐ̃mbˈɔlɐdˌuwɾˈadɐɐmˌeɾikˈɐ̃nɐ,plovˈer ˌauɾˈiʊ ˌameɾikˈan,ˌ?ɑməʁʔikˈansk jˈ?ɑjlə,plyvjˈe doʁˈe ameʁikˈɛ̃,ˌamɛrɨkˈaɲska ɕˈɛfka zwˈɔta,ˈɑmɛrikɑi ˈɑrɑɲʃyɡeːr,ˌamerˌikanikˈo xrisˈovulˌo,ˈameːrˌiːkɑnsk ɡˈʉlpɪplˌarka
animals,american robin,ɐmˈɛɹɪkən ɹˈɑːbɪn,rˈɔtkeːlçən,rˈoːdbɔrstʲə,ˈamerˌitskiː rˈobin,petːirˈosso amerikˈano,pˌetirˈoxo ˌameɾikˈano,pˈiʃkʊdɨpˈeɪtʊʁˌuˈivʊ,rˌoʃjɔˈaɾə ˌameɾikˈanə,ˌ?ɑməʁʔikˈansk ʁˈʔœðbʔen,mˈɛʁl dameʁˈik,rˈudʑik ˌamɛrɨkˈaɲski,ˈɑmɛrikɑi vˈørøʃbɛɟ,ˌamerikˈanikˌos kˌocinolˈemis,ˈameːrˌiːkɑnsk rˈœdstrʉːpa
animals,american tree sparrow,ɐmˈɛɹɪkən tɹˈiː spˈæɹoʊ,ˌɑmeːriːkˈɑnɪʃɜ fˈɛltspɜlˌɪŋ,ˈaːmɪːrˌikaːnsə bˈoːmɵs,ˈamerˌitskiː vrˈabets strˈomoviː,pˈassero amerikˈano,ɡˌoriˈon mˌolinˈeɾo ˌameɾikˈano,pɐɾədˈɑl ɐmˌeɾikˈɐ̃nʊ,vrˈabje ˌameɾikˈanə de kopˈak,ˌ?ɑməʁʔikˈansk skˈɔwspʔuɐ̯ʋ,bʁyˈɑ̃ de-z ˈaʁbʁ,vrˈubɛl ˌamɛrɨkˈaɲski,ˈɑmɛrikɑi vˈɛreːb,ˌamerikˈanikˌo spurjˈiti,ˈameːrˌiːkɑnsk ɡrˈɔspʉrv
animals,amoeba,ɐmˈiːbə,ˈɑmøːbə,ˈaːmubə,ˈameːba,amˈɛba,amˈeβa,ɐmˈɛbɐ,ˌamoˈeba,amˈœbə,amˈib,amˈɛba,ˈɑmøːbɑ,ˌamivˈaða,ˈamøːba
animals,amphibian,æmfˈɪbiən,amfˈiːbiːən,ˌɑmfibˈi,ˈobojʒˌivelɲˌiːtsi,anfˈibio,anfˈiβjo,ˌɐ̃ŋfˈibjʊ,ˌamfibjˈan,?ɑmfˈʔibjə,ɑ̃fibjˈɛ̃,pwˈas,kˈeːteːltyː,amfˈiviˌa,ˈɑmfiːbˌiːa
animals,anaconda,ˈænɐkˌɑːndə,anakˈɔndɑː,ˌaːnaːkˈɔndaː,ˈanakˌonda,anakˈɔnda,ˌanakˈonda,ɐnɐkˈoŋdɐ,ˌanakˈonda,ˌanakˈʔʌnda,anakɔ̃dˈa,ˌanakˈɔnda,ˈɑnɑtsondɑ,(en)ˈanɐkˌɒndə(el),ˈanakˌʊnnɑ
animals,angelfish,ˈeɪndʒəlfɪʃ,skalˈɑːɾ,mˈaːnvɪs,ˈaŋɡelfisx,pˈeʃe ˈandʒelo,pˈeθ ˈaŋxel,pˈeɪʃɨˈɐ̃ŋʒʊ,pˈeʃteɨŋdʒˈer,kˈuləfʔesk,pwasˈɔ̃ˈɑ̃ʒ,andʒˈɛlfiʃ,ˈɑnɟɑlhɑl,ˌaŋɡelˈopsarˌo,ˈɛŋleːfˌɪsk
animals,angelshark,ˈeɪndʒəlʃˌɑːɹk,ˈɛŋəlshˌaɪ,ˈɛŋəlˌɛnhaːj,ˈaŋɡelshark,ˈandʒelo skwˈalo,ˌaŋxelsˈaɾk,tˌubɐɾˈɐ̃ʊ̃ˈɐ̃ŋʒʊ,ˌaŋdʒelʃˈark,ˈεŋləh?ɑj,ʁəkˈɛ̃ de-z ˈɑ̃ʒ,andʒˈɛlʃark,ˈɑnɡɛlʃhɑrk,(en)ˈeɪndʒəlʃˌɑːk(el),ˈɛŋleːhˌɑɪ
animals,angonoka,ˌæŋɡənˈoʊkə,ˈanɡˌoːnoːkˌɑː,ˌɑŋoːnˈoːkaː,ˈaŋɡonˌoka,aŋɡonˈoka,ˌaŋɡonˈoka,ˌɐ̃ŋɡunˈokɐ,ˌaŋɡonˈoka,ˈanɡʔonˌʔoka,ɑ̃ɡonokˈa,ˌaŋɡɔnˈɔka,ˈɑnɡonokɑ,(en)ˌaŋɡənˈəʊkə(el),ˈɑŋuːnˌuːkɑ
animals,animal,ˈænɪməl,tˈiːɾ,dˈir,zvˈiːr̝ata,animˈale,ˌanimˈal,ɐnimˈɑl,ˌanimˈal,dˈʔyɐ̯,animˈal,zvʲˈɛʒɛ,ˈaːllɑt,zˈoo,dˈyːr
animals,anole,ˈænoʊl,ˈanˌoːlə,aːnˈoːlə,ˈanole,anˈɔla,anˈole,ɐnˈɔlɨ,anˈole,ˈanolə,anˈɔl,ˈanɔl,ˈɑnolɛ,(en)ˈanəʊl(el),ˈanuːla
animals,ant,ˈænt,ˈɑmaɪzə,mˈir,mrˈaventsi,formˈika,oɾmˈiɣa,fˌuɾəmˈiɡɐ,furnˈikə,mˈyʔʌ,fuʁmˈi,mrˈufka,hˈɑnɟɑ,mirmˈiŋɡi,mˈaʊr
animals,anteater,ˈæntiːɾɚ,ˌɑmaɪzənbˈɛːɾ,mˈirənˌeːtər,mrˈavenˌetʃɲiːk,formikiˈɛre,ˈoso ˌoɾmiɣˈeɾo,tɐmɐ̃ŋdwˈa,fˌurnikˈar,mˈyʔʌslˌuʌ,fuʁmiljˈe,mrufkˈɔjat,ˈɑntɛɑtɛr,mˌirmiŋɡofˈaɣos,mˈaʊrʃlʉːkər
animals,antelope,ˈæntɪlˌoʊp,ˌantiːlˈoːpə,ˌɑntilˈoːpə,ˈantilˌopi,antˈilope,antˈilope,ˌɐ̃ŋtˈilupɨ,antilˈopə,ˌantʔelˈopə,ɑ̃tilˈɔp,ˌantɨlˈɔpa,ˈɑntilop,ˌadilˈopi,ˈɑntiːlˌuːpa
animals,apatosaurus,ˌæpɐɾəsˈɔːɹəs,ˈɑpatˌoːzaʊrˌʊs,ˈaːpaːtˌoːzʌʊrˌɵs,ˈapatˌosaʊrus,apatozˈaʊro,ˌapatosˈaʊɾus,ˌɐpɐtusˈaʊɾʊ,ˌapatˌosaˈurus,ˈapatˌosɑwʁˌʔus,apatozˈɔʁ,ˌapatˈɔzawr,ˈɑpɑtoʃɑuruʃ,ˌapatˈosavrˌos,ˈapatˌuːsaʊrˌʉːs
animals,ape,ˈeɪp,ˈafən,ˈaːp,ˈopitse,ʃˈimmia,mˈono,mˌɐkˈakʊ,maɪmˈutsə,ˈabə,sˈɛ̃ʒ,mˈawpa,mˈɑjom,pˈiθikˌos,ˈapa
animals,aphid,ˈeɪfɪd,blˈatlaʊs,blˈɑdlœys,mʃˈitse,ˈafide,pulɣˈon,puwɡˈɐ̃ʊ̃,afˈidə,blˈaðlʔus,pysʁˈɔ̃,mʃˈɨtsa,lˈɛveːltɛtyː,afˈiða,blˈɑdlʉːs
animals,arachnid,ɚɹˈæknɪd,ʃpˌɪnəntˈiːɾ,spˈɪnɑxtəɣə,ˈaraxɲit,aɾˈaknide,aɾˈakniðo,ˌɐɾɐknˈidiʊ,ˌaɾahnˈid,spˈʔenəldʔyɐ̯,aʁaknˈid,pajˈɛntʃak,pˈoːkok,ˌaraxnˌoiðˈes,ˈɛdːarkˌɔpːdyːr
animals,archaeopteryx,ˈɑːɹkiːˌɑːptɚɹˌɪks,ˈaɾçɛːˌɔpteːrˌʏks,ˈɑrxəˌɔptɪːrˌɪks,ˈarxeˌopteriks,arkeotːerˈidʒe,ˌaɾtʃaˌeopːteɾˈiks,ˌɐɾəkɨuptˈɛɾiks,ˌarkaˌeopterˈiks,ˈɑʃaˌʔeʔʌptˌʔeʁʔœɡs,aʁkeopteʁˈiks,ˌarxɛɔptˈɛrɨks,ˈɑrtshɑɛoptɛriks,(en)ˈɑːkiːˌɒptəɹˌɪks(el),ˈɑrkeːˌɔpteːrˌyːks
animals,arctic fox,ˈɑːɹktɪk fˈɑːks,pˈoːlaɾfˌʊxs,pˈoːlvɔs,ˈarktitskaː lˈiʃka,vˈolpe ˈartika,θˈoro ˈaɾtiko,ʁˌɐpˈozɐ dʊ ˈaɾətikʊ,vˈulpe arktˈikə,pʔolˈɑʁεw,ʁənˈaʁ aʁtˈik,lˈis pɔlˈarnɨ,ʃˈɑrki rˈoːkɑ,ˌarkticˈi ˌalepˈu,fjˈɛlrəv
animals,arctic tern,ˈɑːɹktɪk tˈɜːn,kˈʏstənzˌeːʃvalbə,nˈoːrdsə stˈɛrn,rˈibaːk pˈolaːrɲiː,stˈɛrna ˈartika,tʃarˈan ˈaɾtiko,ˌɐ̃ŋduɾˈiɲɐdʊmˈaɹ ˈaɾəktikɐ,ʃalˈəʊ ˈarktik,fjˈʔoɐ̯tʔʌnə,stˈɛʁn aʁtˈik,rɨbʲˈitfa pˌɔpʲɛlˈata,ʃˈɑrki tʃˈeːr,ˌarktikˈo ɣlarˈoni,mˈɑkrəltˌarna
animals,arctic wolf,ˈɑːɹktɪk wˈʊlf,pˈoːlaɾvˌɔlf,pˈoːlʋɔlf,ˈarktitskiː vˈeːˌelkˌaː,lˈupo ˈartiko,lˈoβo ˈaɾtiko,lˈobʊ dʊ ˈaɾətikʊ,lˈupul ˈarktik,ˈɑɑktʔisk ˈʔulʋ,lˈu aʁtˈik,vˈilk arktˈɨtʃnɨ,ʃˈɑrkvideːki fˈɑrkɑʃ,ˌarktikˈoz lˈikos,ˈɑrktɪsk ˈʉlv
animals,armadillo,ˌɑːɹmɐdˈɪloʊ,ɡˌʏɾtəltˈiːɾ,ɣˌɔrdɛldˈir,pˈaːsovets,armadˈillo,ˌaɾmaðˈiʎo,tɐtˈu,ˌarmadˈilo,bˈεltʔedˌʔyɐ̯,tatˈu,pantsˈɛrɲik,ˈɑrmɑdillo,(en)ˌɑːmɐdˈɪləʊ(el),bəltˈeːdyːr
animals,arsinoitherium,ˌɑːɹsɪnɔɪθˈɜːɹiəm,ˌaɾziːnˌoːɪtˈeːriːˌʊm,ˌɑrsinˌoːɪtˈɪːriˌɵm,ˈarsinˌoithˌerium,arsinoitˈɛriʊm,ˌaɾsinoɪtˈeɾjum,ˌɐɾəsinitˈɛɾjʊ,ˌarsinˌoitheɾjˈum,ˈɑsʔinˌʔoʔithˌʔeɐ̯jɒm,aʁsinwatʁiˈɔm,ˌarɕinˌɔitxˈɛrjum,ˈɑrʃinoithɛrium,(en)ˌɑːsɪnɔɪθˈɜːɹiəm(el),ˈɑrʃiːnˌɔɪtheːrˌiːʉːm
animals,arthropod,ˈɑːɹθɹəpˌɑːd,ˈaɾtɾoːpˌoːdən,ɣəleːdpˈoːtəɣə,tʃlˈenoftsi,artropˈode,aɾtɾˈopoðo,ˌɐɾətɹˈɔpudɨ,ˌartropˈod,lˈʔeðʔyɐ̯,(en)ˈɑːθɹəpˌəʊd(fr),stavˈɔnuk,ˈiːzɛltlaːbuːɑk,arθrˈopoðˌo,lˈɛdːyːr
animals,artiodactyls,ˈɑːɹɾɪˌɑːdɐktˌaɪlz,pˈɑːɾhuːfɜ,ˈɑrtiˌoːdɑktˌiɪlən,sˈudokˌopitɲˌiːtsi,artjodˈatːilɪ,ˌaɾtjoðˈaktilos,ˌɐɾətiudˈatilʊʃ,ˌartjodaktʲˈile,ˈɑtʔiˌʔoð?ɑktˌʔylʔʌ,aʁtjodaktˈil,pˌaʒɨstˌɔkɔpˈɨtnɛ,ˈɑrtiodɑtsclʃ,(en)ˈɑːtɪˌɒdɐktˌaɪlz(el),ˈɑrtiːˌuːdɑktˌyːlər
animals,asp,ˈæsp,ˈasp,ˈɑsp,ˈasp,ˈasp,ˈasp,ˈaʃp,ˈasp,ˈasp,ˈasp,bˈɔlɛɲ,ˈɑʃp,(en)ˈasp(el),ˈɑsp
animals,assassin bug,ɐsˈæsɪn bˈʌɡ,rˈaʊbvantsə,mˈɔːrdənˌaːr bˈɵx,ˈassassin bˈuk,bˈuɡ assassˈino,bˈitʃo ˌasesˈino,ˌiŋsˈɛtw ˌɐsɐsˈinʊ,bˈuɡ ˌasasˈin,ˈasasˌʔin bˈʔuɡ,ɛ̃sˈɛkt asasˈɛ̃,bwˈɔnd zabˈujtsɨ,ˈorɟilkoʃ bˈoɡaːr,sfˈalma ðˌolofˈonu,snˈɪkmɔrdˌarfaɪl
animals,ayeaye,ˈaɪiːˌaɪ,ˈaɪeːˌaɪə,ˈaːjəˌaːjə,ˈaiˌeaˌie,ajeˈaje,ˌaʝeˈaʝe,ˌaɪɨˈaɪɨ,ajˈeaje,ˈaʔyˌʔeaˌʔyə,(en)ˈaɪiːˌaɪ(fr),ˌajɛˈajɛ,ˈɑiɛɑiɛ,(en)ˈaɪiːˌaɪ(el),ˈɑːyːˌeːyːa
animals,baboon,bæbˈuːn,pˌɑviːˈɑːn,bˌaːviˈaːn,pˈaviaːn,babːʊˈino,baβwˈino,bˌɐbuˈinʊ,babwˈin,bˌaʋʔiˈan,babwˈɛ̃,pˈavʲan,pˈaːviaːn,bˌabuˈinos,bˈaviːˌan
animals,bactrian camel,bˈæktɹiən kˈæməl,tɾˌampəltˈiːɾ,bˈɑktrisə kaːmˈeːl,vˈelbloʊd bˈaktrijskiː,kammˈɛllo baktriˈano,kamˈeʎo βˌaktɾiˈano,kɐmˈelʊ bˌɐtɹiˈɐ̃nʊ,kəmˈilə baktrjˈanə,bˈ?ɑktʁʔisk kamˈʔel,ʃamˈo də- baktʁiˈan,vʲˈɛlbwɔnd baktrˈɨjski,bˈɑktriɑi tˈɛvɛ,vˌaktrianˈi kamˈila,bˈɑktrɪsk kˈaməl
animals,badger,bˈædʒɚ,dˈaxs,dˈɑs,jˈezevets,tˈasso,texˈon,tˌeʃˈuɡʊ,bursˈuk,ɡʁˈεwlʔeŋ,blɛʁˈo,bˈɔrsuk,bˈorz,asvˈos,ɡrˈɛvlɪŋ
animals,bald eagle,bˈɔːld ˈiːɡəl,vˈaɪskɔpfzˌeːadlɜ,zˈeːˌaːrənt,ˈorel bjˈelohlˌaviː,ˈakwila kˈalva,ˈaɣila kˈalβa,ˈaɡiɐ kˌɐɾˈɛkɐ,vˈultur pleʃˈuv,ʋˈʔiðhoəðəð hˈaʋʔœɐ̯n,piɡˈaʁɡ a tˈɛt blˈɑ̃ʃ,bjˈɛlik,kˈopɑs ʃˌɑʃ,fˌalakrˈos ˌaetˈos,vˈɪthuːdˌeːhavˌœrn
animals,bandicoot,bˈændɪkˌuːt,bˈandiːkˌoːt,bˌɑndikˈoːt,bˈanditsˌoot,bandikˈɔot,bˌandikoˈot,bˌɐ̃ŋdikˈʊt,bˌandikoˈot,bˈanʔikˌuːt,(en)bˈandɪkˌuːt(fr),bˌandʲitsˈɔɔt,bˈɑnditsoot,(en)bˈandɪkˌuːt(el),bˈɑnniːkˌuːuːt
animals,barnacle,bˈɑːɹnəkəl,rˈankənfˌʊskɾeːps,brˈɑndnətˌɛl,bˈarnatsle,tʃirɾipˈede,peɾθˈeβe,kɹˈakɐ,barnˈakle,ʁˈ?ɑnkəfœðə,bɛʁnˈakl,pˈɔŋkla,pˈɑjʒtɛtyː,ˌaŋɡaθotˈo,rˈʉːr
animals,barracuda,bˌæɹɐkjˈuːdə,bˈarakˌuːdɑː,bˌɑɾraːkˈydaː,bˈaratsˌuda,barɾakˈuda,bˌarakˈuða,bˌɐʁɐkˈudɐ,bˌarakˈuda,bˈɑʁɑkˌʔuða,baʁakydˈa,bˌarakˈuda,bˈɑrɑtsudɑ,(en)bˌaɹɐkjˈuːdə(el),bˈɑrrakˌʉːdɑ
animals,basilisk,bˈæzɪlˌɪsk,bˈɑziːlˌɪsk,bˈaːzilˌɪsk,bˈazilˌiʃek,bazilˈisko,bˌasilˈisko,bˌɐzilˈiʃkʊ,bˌasilˈisk,basˈʔilʔisɡ,bazilˈik,bˌazɨlˈiʃɛk,bˈɑziliskus,vˌasilˈiskos,bˈasiːlˌɪsk
